Country,Year,Life expectancy
Haiti,2010,61.40634321982829
Hungary,2015,73.78809381627735
Hungary,2014,73.7613829825614
Hungary,2013,73.83386002691086
Hungary,2012,73.85465499346323
Hungary,2011,73.6416818933844
Hungary,2010,73.8632387838014
Jamaica,2015,74.26954275197227
Jamaica,2014,74.27714354822515
Jamaica,2013,74.17261602574291
Jamaica,2012,74.14260474965882
Jamaica,2011,74.21355432767047
Jamaica,2010,74.2587806668554
Jordan,2015,72.74424750730006
Jordan,2014,72.75059772321833
Jordan,2013,72.75973698259547
Jordan,2012,72.75397327548217
Jordan,2011,72.75783650857986
Jordan,2010,72.772068821585
Latvia,2015,73.02968088087647
Latvia,2014,73.0983851099132
Latvia,2013,73.10486434619513
Latvia,2012,73.08863843020897
Latvia,2011,73.00057329094047
Latvia,2010,72.99420655237601
Lebanon,2015,74.49311859595306
Lebanon,2014,74.49488981077768
Lebanon,2013,74.51578616378943
Lebanon,2012,74.5140128042047
Lebanon,2011,74.52091604878007
Lebanon,2010,74.53859478672489
Lithuania,2015,72.95901511624288
Lithuania,2014,71.73285983460251
Lithuania,2013,71.72598308410113
Lithuania,2012,71.74695562036908
Lithuania,2011,71.783344245123
Lithuania,2010,71.78234556525233
Mali,2015,53.905285630990434
Mali,2014,54.449846212980205
Mali,2013,53.80633171476789
Mali,2012,53.54129631540621
Mali,2011,54.47178256914148
Mali,2010,54.473098323483605
Malta,2015,79.85341277647416
Malta,2014,79.94363246973643
Malta,2013,79.98161573351355
Malta,2012,79.99182955300616
Malta,2011,79.69149830192237
Malta,2010,80.85523847653981
Namibia,2015,59.85830075370358
Namibia,2014,59.91833115913542
Namibia,2013,59.913258176617084
Namibia,2012,59.89438771519076
Namibia,2011,60.028553244821076
Namibia,2010,60.85932438787755
Netherlands,2015,81.90477517074156
Netherlands,2014,83.93129728939883
Netherlands,2013,81.22543487158079
Netherlands,2012,81.60364493736526
Netherlands,2011,82.27958128202722
Netherlands,2010,84.27329187050132
Norway,2015,85.56138677653456
Norway,2014,85.33885995122148
Norway,2013,85.42574488138654
Norway,2012,85.70625345541094
Norway,2011,86.50505175967868
Norway,2010,83.25936108150714
Poland,2015,75.16975249018834
Poland,2014,75.17750178308282
Poland,2013,75.17509888811094
Poland,2012,75.1837352207104
Poland,2011,75.1865864430577
Poland,2010,75.18296423866819
Portugal,2015,78.80760450485216
Portugal,2014,77.88463708419016
Portugal,2013,78.10483049832442
Portugal,2012,78.76758350243762
Portugal,2011,78.86391886685409
Portugal,2010,78.88344504011327
Republic of Moldova,2015,68.33492475375292
Republic of Moldova,2014,68.39832906917384
Republic of Moldova,2013,68.39903352271227
Republic of Moldova,2012,68.2367976127165
Republic of Moldova,2011,67.94489279432963
Republic of Moldova,2010,68.05304983200783
Samoa,2015,73.60594112514016
Samoa,2014,73.68749323156989
Samoa,2013,73.48989749600594
Samoa,2012,73.71742611581523
Samoa,2011,73.86075556784137
Samoa,2010,73.96218194940099
Sierra Leone,2015,47.46409715768437
Sierra Leone,2014,44.66836738010695
Sierra Leone,2013,46.82586923668635
Sierra Leone,2012,43.752667191413735
Sierra Leone,2011,43.76662674158389
Sierra Leone,2010,45.089395324624896
Suriname,2015,69.79993486712952
Suriname,2014,69.80655624030611
Suriname,2013,69.81754310488435
Suriname,2012,69.81153642650456
Suriname,2011,69.84136354509981
Suriname,2010,69.76267045755732
Syrian Arab Republic,2015,73.76749258371413
Syrian Arab Republic,2014,73.76819618315149
Syrian Arab Republic,2013,73.76854554633968
Syrian Arab Republic,2012,73.76930280310097
Syrian Arab Republic,2011,73.59631025414853
Syrian Arab Republic,2010,73.78444361591669
United States of America,2015,77.86484185308716
United States of America,2014,78.04559692979473
United States of America,2013,78.0720301752479
United States of America,2012,78.0406353634722
United States of America,2011,78.08113166831048
United States of America,2010,78.0855428144272
Zambia,2015,57.216339640952405
Zambia,2014,55.30533212757887
Zambia,2013,55.27976105151058
Zambia,2012,56.797081425103215
Zambia,2011,55.41418053238553
Zambia,2010,56.83989655370886
