;country;description;designation;points;price;province;region_1;region_2;taster_name;taster_twitter_handle;sex;taster_credit;title;variety;winery
12;US;Light in aromas, this reasonably priced wine by the Talley family eventually shows subtle earth and game on the nose. The palate packs much more textural action, with bitter cranberry skins and orange rinds as well as black slate flavors, with a bright acidity that lingers long.;;88;20.0;California;San Luis Obispo County;Central Coast;Matt Kettmann;@mattkettmann;male;;Bishop's Peak 2013 Pinot Noir (San Luis Obispo County);Pinot Noir;Bishop's Peak
13;US;There is some volatility in the nose, along with strong scents of the new French oak. But the flavors are substantial and bring tart fruit with black olive, toast and coffee highlights. The acidity seems chalky, but it's a noticeable improvement from previous vintages.;;87;35.0;Washington;Walla Walla Valley (WA);Columbia Valley;Paul Gregutt;@paulgwine ;male;;Sweet Valley 2008 Cabernet Sauvignon (Walla Walla Valley (WA));Cabernet Sauvignon;Sweet Valley
14;France;The browning color shows that this wine has age. It has weight still, as well as considerable acidity, but the wine is beginning to dry out and certainly should not be kept for much longer.;;84;25.0;Southwest France;Montravel;;Roger Voss;@vossroger;male;;Château le Raz 2003  Montravel;Bordeaux-style Red Blend;Château le Raz
15;US;The volatiles are quite amped on this wine. It makes it a struggle to get at the tart black cherry flavors.;;84;34.0;Washington;Horse Heaven Hills;Columbia Valley;Sean P. Sullivan;@wawinereport;;;Martinez & Martinez 2013 Cabernet Sauvignon (Horse Heaven Hills);Cabernet Sauvignon;Martinez & Martinez
16;US;This has a vivid, gold color with just a touch of pink, which makes sense considering Pinot Gris is not really a white wine grape, but a gris or gray shade in between blanc and noir. Aromas are like buttered popcorn, toasted almond and a touch of honey. It is undeniably flavorful, lush in texture and full bodied. The blend is 75% Pinot Gris and 25% Pinot Blanc.;Nesserre Vineyards;90;24.0;California;California;California Other;Jim Gordon;@gordone_cellars;male;1;Wargin Wines 2013 Nesserre Vineyards Pinot Gris (California);Pinot Gris;Wargin Wines
17;Italy;This offers aromas and flavors suggesting unripe apricot, peach and lime. The simple palate is a bit raw, but crisp acidity gives it clean, bright finish.;Vermentino del marchese;85;20.0;Sicily & Sardinia;Sicilia;;Kerin O’Keefe;@kerinokeefe;female;;Marchesi De Gregorio 2015 Vermentino del marchese White (Sicilia);White Blend;Marchesi De Gregorio
18;Italy;Baked plum, truffle and mocha aromas emerge on this blend of 85% Sangiovese and 15% Merlot. The warm, chewy palate offers ripe black cherry, coffee, vanilla and anise alongside brooding tannins. Drink through 2018.;Curva del Vescovo;88;45.0;Tuscany;Chianti Classico;;Kerin O’Keefe;@kerinokeefe;female;;Poggio Borgoni 2011 Curva del Vescovo  (Chianti Classico);Red Blend;Poggio Borgoni
19;US;Although this is the least costly of the winery's Pinots, it's a lovely wine. Blending from a vast source of vineyards has given winemaker Cabral the ability to fill in divots of every kind. Gentle and dry, this rich, complex Pinot Noir has the elegance and style you expect from Williams Selyem.;;92;34.0;California;Sonoma County;Sonoma;;;;;Williams Selyem 2008 Pinot Noir (Sonoma County);Pinot Noir;Williams Selyem
20;France;Harvested in November 2011 from botrytized grapes which have benefited from the autumn mists, the wine is a fine combination of intense acidity and superrich honeyed flavors. It is ready to drink, although it will certainly age. The secret of the wine is its richness combined with fine acidity. Drink ideally from 2018.;Château Bouscassé Brumaire;92;33.0;Southwest France;Pacherenc du Vic Bilh;;Roger Voss;@vossroger;male;;Vignobles Brumont 2011 Château Bouscassé Brumaire  (Pacherenc du Vic Bilh);Petit Manseng;Vignobles Brumont
21;Portugal;Two naturally crisp grapes come together in a sparkling wine of bright and delicious character. Its lively mousse carries its fruity, fresh citrus and apple flavor. Drink now.;Marquês de Marialva Bical & Arinto Bruto;88;12.0;Beira Atlantico;;;Roger Voss;@vossroger;male;;Adega de Cantanhede NV Marquês de Marialva Bical & Arinto Bruto Sparkling (Beira Atlantico);Portuguese Sparkling;Adega de Cantanhede
22;Italy;Blue flower, sweet baking spices, ripe cherry and black raspberry sensations come together in this smooth, savory wine. Supple tannins and lively acidity support the juicy fruit palate.;3 Utin;88;26.0;Piedmont;Langhe;;Kerin O’Keefe;@kerinokeefe;female;;Ciabot Berton 2012 3 Utin Nebbiolo (Langhe);Nebbiolo;Ciabot Berton
23;US;Ah, subtlety and richness come together in this delicious, layered and creamy-textured wine. It has light aromas of marzipan and pear, more fully developed vanilla, nutmeg and pear tart flavors and a luscious mouthfeel that helps extend the finish.;Riserva Collection;92;24.0;California;Livermore Valley;Central Coast;Jim Gordon;@gordone_cellars;male;1;Rubino Estates Winery 2015 Riserva Collection Chardonnay (Livermore Valley);Chardonnay;Rubino Estates Winery
24;US;Another successful Marinus from this small Monterey County appellation. Made from all five classic Bordeaux varieties, it's dry and rich in blackberries, black currants, crème de cassis and cedar, and is more rough in tannins than your typical Napa Cabernet blend. Drink now–2013.;Marinus;90;36.0;California;Carmel Valley;Central Coast;;;;;Bernardus 2007 Marinus Red (Carmel Valley);Bordeaux-style Red Blend;Bernardus
25;Austria;The grounded, earthy roundness of oak is immediately apparent on the nose, adding floral notes of hay and fresh field mushroom. On the pliable palate, aromatic, pale apple notes play with a touch of citrus and evocative hayflower notes. The body is light, with crisp freshness and a little midpalate texture. It finishes clean and bright.;Sinner;90;25.0;Burgenland;;;Anne Krebiehl MW;@AnneInVino;Female;;Prieler 2016 Sinner Chardonnay (Burgenland);Chardonnay;Prieler
26;US;Tannic and dry, this turns twiggy and earthy on the finish. There's a burst of acid-inspired black-cherry flavor on the midpalate.;Stanly Ranch;86;45.0;California;Los Carneros;Napa-Sonoma;;;;;Coho 2009 Stanly Ranch Pinot Noir (Los Carneros);Pinot Noir;Coho
27;US;Cold-fermented in stainless steel after being harvested at 31.4 degrees Brix, this Late-Harvest Riesling is ripe in apple and honey, with a sustained level of rich earth notes from the 134 g/L residual sugar. Crisp and light, it's balanced and ideal for after-dinner cheeses or poached pears.;Late Harvest;89;30.0;California;Lake County;;Virginie Boone;@vboone;female;;Schug 2012 Late Harvest Riesling (Lake County);Riesling;Schug
28;US;Tangy cherry flavors are framed in smoky, oaky flavors. Licorice-like at the  end.;;82;8.0;California;Central Coast;Central Coast;;;;;HRM Rex Goliath NV Merlot (Central Coast);Merlot;HRM Rex Goliath
29;US;Complex fruit flavors that are focused and intricate bring a lot of life to this medium-bodied, lively and intriguing wine. There are touches of ripe apple, honey, mango and an underlying light layer of vanilla and cream, all supported by fresh acidity and a smooth but slightly tangy texture.;;91;20.0;California;North Coast;North Coast;Jim Gordon;@gordone_cellars;male;1;La Follette 2013 Chardonnay (North Coast);Chardonnay;La Follette
30;US;A scent of desiccated black fruit hits the nose first, followed by touches of herbal tea and dark cherry. A wild blend of Syrah, Petite Sirah, Tempranillo, Alicante and Mourvèdre, this has a concentrated palate and tonic acidity.;Vino del Barrio;87;16.0;Arizona;Cochise County;;;;;;Page Springs 2011 Vino del Barrio Red (Cochise County);Red Blend;Page Springs
31;Chile;Smells a little too much like nail polish and cherry candy, while the acidic palate has a wiry mouthfeel and herbal, brambly red fruit flavors. Finishes herbal, with some carob. A snappy, simple-at-best wine.;;83;9.0;Central Valley;;;Michael Schachner;@wineschach;male;;Espiritu de Chile 2008 Shiraz-Cabernet Sauvignon (Central Valley);Shiraz-Cabernet Sauvignon;Espiritu de Chile
32;US;Pale in the glass, this wine from the Jurassic Park Vineyard booms with clean and crisp tropical notes on the nose, showing poached pear, papaya, pineapple and gardenia aromas. Energetic acidity delivers its peach, mango and guava flavors, making for a potent but not treacly palate.;Blanche Old Vine;90;26.0;California;Santa Barbara County;Central Coast;Matt Kettmann;@mattkettmann;male;;Municipal Winemakers 2016 Blanche Old Vine Chenin Blanc (Santa Barbara County);Chenin Blanc;Municipal Winemakers
33;France;The line of premier cru vineyards runs to the west of the town of Givry, with Servoisine touching the town's last houses. The wine is ripe and juicy, hiding its tannins in the heart of generous rich red fruits. It is likely to be a wine that will develop quickly and should be ready from 2019.;Domaine de la Ferté Servoisine Premier Cru;90;40.0;Burgundy;Givry;;Roger Voss;@vossroger;male;;Domaines Devillard 2015 Domaine de la Ferté Servoisine Premier Cru  (Givry);Pinot Noir;Domaines Devillard
34;France;While this wine has a strong tannic structure, it also offers plenty of ripe fruit. Acidity is kept in its place, giving freshness allied to warm berries. Drink this attractive wine from 2016.;Mission St. Vincent;84;12.0;Bordeaux;Bordeaux;;Roger Voss;@vossroger;male;;Producta Vignobles 2013 Mission St. Vincent  (Bordeaux);Bordeaux-style Red Blend;Producta Vignobles
35;Australia;With its knockout nose of blackberries and baking spices, this is an instant stunner. It follows that overture with complex flavors in a similar theme. It's full bodied and mouthcoating in intensity. The only question mark is whether the firm tannins will help it mature gracefully or leave it with a persistent drying quality on the finish. Imported by Wine Brokers Unlimited.;Clarendon;91;65.0;South Australia;Clarendon;;Joe Czerwinski;@JoeCz;Male;;Clarendon Hills 2005 Clarendon Grenache (Clarendon);Grenache;Clarendon Hills
36;Portugal;This is an aromatic wine, one of a series of four wines featuring the major red grapes of the Dão. It is ripe, fruity with soft tannins and juicy acidity. Red berry fruit and a balanced structure give a fragrant wine that is ready to drink.;;89;32.0;Dão;;;Roger Voss;@vossroger;male;;Quinta de Lemos 2010 Alfrocheiro (Dão);Alfrocheiro;Quinta de Lemos
37;US;A smooth, almost satiny Merlot, with generous flavors of plum and cassis. The ample fruit is wrapped in darker flavors, providing a coating streaked with licorice, dusted with coffee grounds and finished with chocolate.;;89;23.0;Washington;Columbia Valley (WA);Columbia Valley;Paul Gregutt;@paulgwine ;male;;Novelty Hill 2010 Merlot (Columbia Valley (WA));Merlot;Novelty Hill
38;US;The Frog is a bit reductive, a bit shy in 2009 and needs extra decanting. With proper breathing time, it shows inviting notes of violets and strawberries, and it gains concentration through the midpalate, with additions of cherry and an almost liquid minerality. An almost delicate version of this wine.;Bionic Frog;95;90.0;Oregon;Walla Walla Valley (OR);Oregon Other;Paul Gregutt;@paulgwine ;male;;Cayuse 2009 Bionic Frog Syrah (Walla Walla Valley (OR));Syrah;Cayuse
39;Italy;Here's an extremely simple, slightly sweet sparkler that offers suggestions of white peach, pear and a candied note. Fresh acidity gives the finish a slight boost.;Extra Dry;84;10.0;Veneto;Prosecco;;Kerin O’Keefe;@kerinokeefe;female;;Amore di Amanti NV Extra Dry  (Prosecco);Glera;Amore di Amanti
40;US;Whole-cluster pressed and aged in barrel and stainless steel, this is fruity in ripe apricot and pear. It's medium-bodied, meaty but not overdone, with zingy acidity. More creamy than crisp, it lingers on the tongue and makes for a good food wine.;Landa Vineyard;87;28.0;California;Sonoma Valley;Sonoma;Virginie Boone;@vboone;female;;Anaba 2011 Landa Vineyard Viognier (Sonoma Valley);Viognier;Anaba
41;US;This reserve-series wine opens in honeysuckle, offering a wealth of floral aromas before unveiling a backbone of caramel oak. Starting fresh and crisp in acidity and citrus, it evolves in the glass to become richer and more unctuous in texture, with a boldness of baked apple.;Kent Ritchie Vineyard;90;60.0;California;Russian River Valley;Sonoma;Virginie Boone;@vboone;female;;Ancient Oak Cellars 2014 Kent Ritchie Vineyard Chardonnay (Russian River Valley);Chardonnay;Ancient Oak Cellars
42;US;It's all about acidity and long hangtime with this Chard. The acids come from chilly, foggy nights, the ripeness from long, warm, sunny days. What you get is oodles of bright, pure pineapple, Granny Smith apple, Meyer lemon and spicy clove flavor, with a touch of caramelized oak for richness.;;87;15.0;California;Mendocino;;;;;;Husch 2006 Chardonnay (Mendocino);Chardonnay;Husch
43;US;The latest version of this popular blend drops the Chardonnay and adds 11% Grüner Veltliner to the Roussanne-Viognier blend. It seems to elevate the aromatics, pushing lush scents of lemon drop, pineapple, and candied orange peel forward. Those perfectly rendered citrus peel flavors put a frame around the tart fruit, and there is a hint of white pepper in the spicy finish.;Subduction White;90;18.0;Washington;Columbia Valley (WA);Columbia Valley;Paul Gregutt;@paulgwine ;male;;Syncline 2009 Subduction White White (Columbia Valley (WA));White Blend;Syncline
44;US;This wine, made from organic grapes, opens with a nose of steely lemon but it devolves quickly into lemony cough drop territory, with a sourness in taste.;;81;14.0;California;Lake County;;Virginie Boone;@vboone;female;;Green Truck 2008 Sauvignon Blanc (Lake County);Sauvignon Blanc;Green Truck
45;France;The nose does not give much away but the dry palate is all about bright, luminous lemon zest and tart lemon juice. Have this on a hot summer day for ultimate refreshment.;Tradition;87;17.0;Alsace;Alsace;;Anne Krebiehl MW;@AnneInVino;Female;;Kuentz-Bas 2013 Tradition Riesling (Alsace);Riesling;Kuentz-Bas
46;Italy;Violet and berry aromas lead into juicy black cherry and red currant flavors. A hint of clove adds interest while fresh acidity and soft tannins makes this wine already extremely enjoyable. Drink through 2016.;;87;15.0;Tuscany;Rosso di Montepulciano;;Kerin O’Keefe;@kerinokeefe;female;;Gattavecchi 2013  Rosso di Montepulciano;Red Blend;Gattavecchi
47;Spain;Dusty apple and papaya aromas lack fortitude. Ditto the palate, which barely stays afloat. Briny citrus flavors and a pickled finish do nothing to elevate this bottom-feeding Chardonnay.;;80;7.0;Central Spain;La Mancha;;Michael Schachner;@wineschach;male;;Despierta 2014 Chardonnay (La Mancha);Chardonnay;Despierta
48;US;The biggest production and lowest priced of all the winery's vineyard designates, this is sexy, substantial and one of the best offerings from any winery sourcing fruit from this exceptional vineyard. A riot of berries, plums and Asian spices fills the mouth—well-integrated, layered and detailed right on through the extended finish. A light dusting of cocoa powder lingers and invites the next sip.;Freedom Hill Vineyard;93;37.0;Oregon;Willamette Valley;Willamette Valley;Paul Gregutt;@paulgwine ;male;;Patricia Green Cellars 2015 Freedom Hill Vineyard Pinot Noir (Willamette Valley);Pinot Noir;Patricia Green Cellars
49;France;93—95 Barrel sample. What a fine wine, elegant, structured, impressively balanced, full of spice, blackcurrants, vibrant acidity. A great year at Trotanoy.;Barrel sample;94;;Bordeaux;Pomerol;;Roger Voss;@vossroger;male;;Château Trotanoy 2006 Barrel sample  (Pomerol);Bordeaux-style Red Blend;Château Trotanoy
50;France;With its fruit and acidity well in balance, this lively, bright wine shows fresh cherry flavors as well as some firmer tannins. The structure is light with fragrant aromas and a touch of spice. Wait until 2015 for this wine to be its best.;;88;14.0;Beaujolais;Beaujolais-Villages;;Roger Voss;@vossroger;male;;Trenel Fils 2013  Beaujolais-Villages;Gamay;Trenel Fils
51;US;"The oak notes of dried coconut, coffee bean and vanilla are far out front here and provide a good deal of the aromas and flavors. But some pretty things are going on in the bottle; it's just hard to get at them.";U50;87;38.0;Idaho;;;Sean P. Sullivan;@wawinereport;;;Vale 2011 U50 Tempranillo;Tempranillo;Vale
52;France;This blend includes 70% Merlot and a small (2%) amount of Malbec. Ripe blackberry fruit dominates, but it also has structure. It's likely to develop quickly and be ready to drink from 2019.;Vieilles Vignes;86;17.0;Bordeaux;Blaye Côtes de Bordeaux;;Roger Voss;@vossroger;male;;Château Fleur de Plaisance 2015 Vieilles Vignes  (Blaye Côtes de Bordeaux);Bordeaux-style Red Blend;Château Fleur de Plaisance
53;US;Dijon clones notwithstanding, this wine is buttery and oaky, emphasizing the flavors of barrel fermentation (in 40% new French oak). Apart from that, it shows moderate acids and a little heat in the finish.;Estate Vineyard;87;30.0;Oregon;Willamette Valley;Willamette Valley;Paul Gregutt;@paulgwine ;male;;Willamette Valley Vineyards 2006 Estate Vineyard Chardonnay (Willamette Valley);Chardonnay;Willamette Valley Vineyards
54;France;Concentrated and powerfully structured now, this will benefit from some time to integrate and harmonize. Currently, all of the elements are assertively upfront, with strong oaky sensations, dense and ripe black-fruit notes and firm tannins all vying for your attention. Hints of leather, bramble, licorice root and roasted cocoa nib hang in the background, waiting for their moment to shine. Try after 2016, and through 2020.;Château de Villemajou Grand Vin;91;45.0;Languedoc-Roussillon;Corbières-Boutenac;;Lauren Buzzeo;@laurbuzz;male;2;Gérard Bertrand 2011 Château de Villemajou Grand Vin Red (Corbières-Boutenac);Rhône-style Red Blend;Gérard Bertrand
55;US;Though this is pure Cabernet from an excellent Walla Walla vineyard, the flavors seem rather harsh and quite astringent. The dark fruit is cloaked in bitter, chalky tannins that require some rich food to cut through.;Les Collines Vineyard;86;32.0;Washington;Walla Walla Valley (WA);Columbia Valley;Paul Gregutt;@paulgwine ;male;;SuLei 2010 Les Collines Vineyard Red (Walla Walla Valley (WA));Bordeaux-style Red Blend;SuLei
56;US;This blend of Cabernet Sauvignon (34%), Merlot (33%), Cabernet Franc (17%) and Petit Verdot brings vanilla, baker's chocolate, woodspice, dried herb and cherry aromas. It's medium bodied on the palate, with cherry flavors and cinnamon accents throughout.;Arianses Vineyard;88;30.0;Washington;Wahluke Slope;Columbia Valley;Sean P. Sullivan;@wawinereport;;;:Nota Bene 2013 Arianses Vineyard Red (Wahluke Slope);Bordeaux-style Red Blend;:Nota Bene
57;France;A ripe wine that shows strong flavors of Chenin Blanc in the blend. That gives a nutty character to the wine while there is also a delicious lively freshness. The wine is bursting with energy, fresh and fruity finishing with tight acidity.;Excellence Brut;89;17.0;Loire Valley;Crémant de Loire;;Roger Voss;@vossroger;male;;Bouvet-Ladubay NV Excellence Brut Chenin Blanc-Chardonnay (Crémant de Loire);Chenin Blanc-Chardonnay;Bouvet-Ladubay
58;US;Retour relies on fruit sourced from so-called “old vine” Pinot vineyards. It's full, fleshy, round and brightly fruity, with plenty of spicy chocolate from extended barrel aging. Some whole cluster fermentation and native yeasts contribute to the complexity. A very fine debut.;;90;65.0;Oregon;Willamette Valley;Willamette Valley;Paul Gregutt;@paulgwine ;male;;Retour 2006 Pinot Noir (Willamette Valley);Pinot Noir;Retour
59;France;88-90 Barrel sample. Packed, fruity wine, dominated by very fresh acidity. The wine is crisp as much as rich, maybe on the lean side.;Barrel sample;89;;Bordeaux;Margaux;;Roger Voss;@vossroger;male;;Château Malescot Saint-Exupery 2009 Barrel sample  (Margaux);Bordeaux-style Red Blend;Château Malescot Saint-Exupery
60;US;Tight in elegant raspberry and cassis fruit, this small-production Cabernet is on the cool-climate side of the equation, reflective of the vintage. Tastes of black and bell peppers are interspersed with cedar, and the finish is purely oak.;The Nth Degree;87;80.0;California;Livermore Valley;Central Coast;Virginie Boone;@vboone;female;;Wente 2011 The Nth Degree Cabernet Sauvignon (Livermore Valley);Cabernet Sauvignon;Wente
61;US;Lots of fruit flavor and light spicy touches make this medium-bodied, dry and moderately tannic wine very attractive. Black cherry meets clove and cinnamon, while ample acidity joins with a touch of tannin for a well-balanced texture.;Small Lot;89;13.0;California;Mendocino County;;Jim Gordon;@gordone_cellars;male;1;Parducci 2014 Small Lot Merlot (Mendocino County);Merlot;Parducci
62;Spain;Fresh cherry and plum aromas are basic and easy, with a medicinal side note. This Garnacha-Carignan-Cabernet blend is grabby and pulling. Plum, raspberry and tomato flavors finish with a reprise of rubbery tannins.;Loidana;88;30.0;Catalonia;Priorat;;Michael Schachner;@wineschach;male;;Marco Abella 2013 Loidana Red (Priorat);Red Blend;Marco Abella
63;France;From the Cognac region, this fresh and fruity wine is light and bright with herbal flavors, crisp citrus and intense acidity. It's ready to drink.;Lepontis;84;12.0;France Other;Charentais;;Roger Voss;@vossroger;male;;Maison des 3 Ponts 2014 Lepontis Sauvignon Blanc (Charentais);Sauvignon Blanc;Maison des 3 Ponts
64;US;Slightly reductive on the nose, this bottling from a very coastal vineyard outside of Cambria shows mossy forest floor, jerked meat, dried cranberries, turned earth, sesame oil and salt on the nose. The palate combines concentrated, lush raspberry with bay leaf, lots of turned earth and chaparral seasonings.;Creekside Estate;92;32.0;California;San Luis Obispo County;Central Coast;Matt Kettmann;@mattkettmann;male;;Stolo 2013 Creekside Estate Pinot Noir (San Luis Obispo County);Pinot Noir;Stolo
65;France;This nonvintage Champagne is dry, with considerable crispness and minerality. It has been blended to be drunk young and fruity. The aftertaste highlights white fruit and pink grapefruit.;Première Cuvée Extra Brut;88;55.0;Champagne;Champagne;;Roger Voss;@vossroger;male;;Bruno Paillard NV Première Cuvée Extra Brut  (Champagne);Champagne Blend;Bruno Paillard
66;US;Aromas of struck match, seared lemon, roasted apples and a touch of butterscotch prove clean and not overpowering. This is a very straight-ahead Chardonnay, with lemon fruit, chalk and noticeable oak influence.;;86;12.0;California;Monterey County;Central Coast;Matt Kettmann;@mattkettmann;male;;Estancia 2013 Chardonnay (Monterey County);Chardonnay;Estancia
67;Spain;Gritty, intense, oaky and powerful from start to finish, this displays black-fruit aromas, hints of asphalt and an intense mouthfeel with a tight grip. A common duo of black-fruit and oaky flavors finishes with vanilla notes and a hint of coconut. Drink this structured, fully tannic RDD through 2028.;Reserva;92;50.0;Northern Spain;Ribera del Duero;;Michael Schachner;@wineschach;male;;Protos 2011 Reserva  (Ribera del Duero);Tempranillo;Protos
68;Italy;Made with 100% Schiava, this has a subdued nose that eventually reveals red berry and iris. The palate offers crushed raspberry and a hint of marzipan alongside somewhat drying tannins and brisk acidity.;Kalkofen Lago di Caldaro Classico Superiore;87;25.0;Northeastern Italy;Alto Adige;;Kerin O’Keefe;@kerinokeefe;female;;Baron di Pauli 2013 Kalkofen Lago di Caldaro Classico Superiore Schiava (Alto Adige);Schiava;Baron di Pauli
69;Italy;This wine's white flower, apple, pear and almond aromas carry over to its medium-bodied palate, along with a hint of citrus peel. It's linear and fresh, with bright acidity and a saline note on the close.;Le Sabbie dell'Etna Bianco;89;20.0;Sicily & Sardinia;Etna;;Kerin O’Keefe;@kerinokeefe;female;;Firriato 2016 Le Sabbie dell'Etna Bianco  (Etna);White Blend;Firriato
70;Austria;A heady, minty nose is joined by fuller fruit of green and yellow pear. On the palate, highlights of pepper appear amidst lemon and grapefruit peel. This is sleek and slender, with wonderfully zesty concentration and brisk freshness. Take your time drinking this, there is a lot going on.;Obere Steigen;92;19.0;Traisental;;;Anne Krebiehl MW;@AnneInVino;Female;;Markus Huber 2014 Obere Steigen Grüner Veltliner (Traisental);Grüner Veltliner;Markus Huber
71;US;Fruity and simple, with pie-filling blackberry, cherry and raspberry flavors that have been generously oaked. Almost sweet, a fruit bomb. Doesn't seem likely to age.;The Winemaster;85;80.0;California;Napa Valley;Napa;;;;;Cosentino 2005 The Winemaster Cabernet Sauvignon (Napa Valley);Cabernet Sauvignon;Cosentino
72;US;Spicy and herbal, with a palate reminiscent of Sauvignon Blanc, this blends a grassy aroma with a mix of citrus, apple and pear notes. It has excellent concentration through the midpalate, with a clean, fresh finish.;;88;12.0;Washington;Columbia Valley (WA);Columbia Valley;Paul Gregutt;@paulgwine ;male;;Waterbrook 2011 Pinot Gris (Columbia Valley (WA));Pinot Gris;Waterbrook
73;Portugal;Lemon grass, lime and intensely crisp acidity identify the wine as definitely from the cool north of Portugal. A strong apple-skin texture dominates, leaving a wine that really needs shellfish type foods.;Monte Cascas Reserva;87;24.0;Minho;;;Roger Voss;@vossroger;male;;Casca Wines 2008 Monte Cascas Reserva White (Minho);Portuguese White;Casca Wines
74;France;Light, bright and crisp, this wine is based around grapes grown in the Loire Valley. It offers attractive apple and pear fruit flavors cut with acidity, with a tangy aftertaste.;La Petite Perrière;85;13.0;France Other;Vin de France;;Roger Voss;@vossroger;male;;Saget la Perrière 2015 La Petite Perrière Sauvignon Blanc (Vin de France);Sauvignon Blanc;Saget la Perrière
